id,pop
1646000001,21314.79149
1646000002,36025.76878
1646000003,80478.70511
1646000004,61967.99303
1646000005,82763.73735
1646000006,15283.03864
1646000007,31912.39337
1646000008,62400.39175
1646000009,11304.0628
1646000010,11278.25478
1646000011,165484.5207
1646000012,51228.36614
1646000013,21360.60703
1646000014,94562.50976
1646000015,82045.90481
1646000016,50935.52287
1646000017,21323.85599
1646000018,11001.42625
1646000019,64918.45158
1646000020,166447.6827
1646000021,127980.2528
1646000022,96100.91114
1646000023,29859.70137
1646000024,77588.90785
1646000025,24950.44349
1646000026,112565.7419
1646000027,75910.32831
1646000028,21392.71371
1646000029,25627.89709
1646000030,89297.67005
1646000031,10436.60173
1646000032,74186.96144
1646000033,102402.1022
1646000034,27772.47416
1646000035,54321.08152
1646000036,55151.53395
1646000037,42929.51728
1646000038,24105.38395
1646000039,43108.82289
1646000040,44382.54137
1646000041,35880.90199
1646000042,45759.88929
1646000043,35486.47912
1646000044,29640.31913
1646000045,22165.28044
1646000046,31859.62877
1646000047,33673.68226
1646000048,24488.68023
1646000049,34445.40358
1646000050,23936.16356
1646000051,48590.18068
1646000052,40244.68175
1646000053,44848.28542
1646000054,35514.70167
1646000055,31307.80012
1646000056,31703.30671
1646000057,20334.75782
1646000058,32687.65643
1646000059,31568.10167
1646000060,27020.71587
1646000061,28401.39546
1646000062,21141.96808
1646000063,17451.80892
1646000064,22809.63264
1646000065,21838.00694
1646000066,25528.83844
1646000067,25462.91631
1646000068,20062.61876
1646000069,20695.79448
1646000070,18998.92364
1646000071,19805.36993
1646000072,28686.48798
1646000073,15602.38238
1646000074,30155.59652
1646000075,19536.70856
1646000076,26291.11282
1646000077,35183.77594
1646000078,28324.84306
1646000079,38579.30626
1646000080,28433.13895
1646000081,38273.64696
1646000082,25428.21689
1646000083,32523.10895
1646000084,24436.60316
1646000085,24269.16681
1646000086,40453.00519
1646000087,29255.46799
1646000088,26749.54525
1646000089,42401.31147
1646000090,21205.15959
1646000091,24392.50258
1646000092,15068.01494
1646000093,24576.21778
1646000094,14599.16968
1646000095,29954.46702
1646000096,13058.77908
1646000097,20851.74752
1646000098,21515.96031
1646000099,21636.01102
1646000100,14806.18573
1646000101,19411.68089
1646000102,25860.37099
1646000103,27284.37362
1646000104,32719.12888
1646000105,43634.19154
1646000106,26906.49977
1646000107,55278.12383
1646000108,26918.69184
1646000109,48792.6775
1646000110,26432.05918
1646000111,41692.24843
1646000112,81599.69067
1646000113,37226.72421
1646000114,30030.30756
1646000115,20886.91056
1646000116,24572.08882
1646000117,30598.8008
1646000118,21919.39113
1646000119,13539.90061
1646000120,66413.16056
1646000121,30057.94992
1646000122,31130.05526
1646000123,17943.26589
1646000124,54868.43805
1646000125,40391.27922
1646000126,22282.78548
1646000127,26840.95141
1646000128,18175.6344
1646000129,50016.87431
1646000130,46729.47415
1646000131,17766.70704
1646000132,49532.17731
1646000133,30182.85964
1646000134,75057.46488
1646000135,42698.48818
1646000136,95788.27896
1646000137,43021.51327
1646000138,22327.14639
1646000139,25683.76613
1646000140,31892.26494
1646000141,24732.58334
1646000142,23224.6368
1646000143,28348.60997
1646000144,27332.77627
1646000145,44441.59847
1646000146,35572.61988
1646000147,20249.60333
1646000148,39258.36474
1646000149,30437.52465
1646000150,32057.37727
1646000151,29948.71495
1646000152,20650.58735
1646000153,36622.74987
1646000154,21229.27673
1646000155,41714.28398
1646000156,24581.98043
1646000157,27527.04561
1646000158,24593.401
1646000159,34725.99788
1646000160,35864.78102
1646000161,31867.19937
1646000162,29393.98045
1646000163,36416.79237
1646000164,43417.25894
1646000165,42216.77964
1646000166,42631.35066
1646000167,39926.66455
1646000168,24366.55641
1646000169,35377.94874
1646000170,63406.15214
1646000171,52283.51001
1646000172,48194.14166
1646000173,102604.63
1646000174,81780.87892
1646000175,36358.18056
1646000176,47795.78259
1646000177,22913.31376
1646000178,22064.36819
1646000179,26390.34425
1646000180,13062.04377
1646000181,35600.7756
1646000182,19073.10456
1646000183,29524.20306
1646000184,28669.22308
1646000185,25188.305
1646000186,23089.11173
1646000187,21023.29947
1646000188,26023.61982
1646000189,27319.66056
1646000190,38024.32205
1646000191,27707.55168
1646000192,35495.60838
1646000193,29001.49028
1646000194,34066.14551
1646000195,23085.10466
1646000196,25676.96886
1646000197,41511.26978
1646000198,26680.12246
1646000199,34855.6782
1646000200,49623.7909
1646000201,27330.2477
1646000202,19421.71077
1646000203,29038.13892
1646000204,21796.65814
1646000205,50480.1109
1646000206,23959.34933
1646000207,26346.89205
1646000208,37803.74365
1646000209,35914.48291
1646000210,32866.55645
1646000211,20895.2607
1646000212,19857.52114
1646000213,22588.25598
1646000214,35538.0639
1646000215,20018.94865
1646000216,32210.54041
1646000217,25667.77571
1646000218,32392.40103
1646000219,23425.90119
1646000220,29238.94331
1646000221,32712.74213
1646000222,43747.14558
1646000223,44487.51256
1646000224,31587.61511
1646000225,34419.62467
1646000226,27599.55819
1646000227,36045.70627
1646000228,21911.03341
1646000229,24755.73558
1646000230,19459.77532
1646000231,30310.54437
1646000232,29343.75195
1646000233,22378.14025
1646000234,14714.97965
1646000235,25688.92158
1646000236,26382.99791
1646000237,17040.17139
1646000238,16498.05898
1646000239,18309.64074
1646000240,25040.43901
1646000241,29770.0754
1646000242,20540.08548
1646000243,33124.10022
1646000244,13773.44481
1646000245,27908.1097
1646000246,18275.23657
1646000247,14877.3173
1646000248,55885.07653
1646000249,21770.89351
1646000250,22373.17399
1646000251,19034.98184
1646000252,19735.47188
1646000253,27030.74785
1646000254,24262.6069
1646000255,16433.68152
1646000256,24942.5058
1646000257,14551.94966
1646000258,21159.77135
1646000259,16364.15496
1646000260,14777.15571
1646000261,20635.7153
1646000262,22348.39765
1646000263,16614.41389
1646000264,22452.94637
1646000265,17741.37873
1646000266,24717.6215
1646000267,20079.34477
1646000268,19703.35223
1646000269,30670.56381
1646000270,76299.69923
1646000271,33114.64567
1646000272,14845.27118
1646000273,29042.86877
1646000274,24788.50241
1646000275,35202.04086
1646000276,77272.76372
1646000277,30392.13758
1646000278,57665.50941
1646000279,18419.567
1646000280,33601.82759
1646000281,20813.9369
1646000282,24578.30215
1646000283,26801.45517
1646000284,17352.44114
1646000285,41699.22798
1646000286,48470.41415
1646000287,15883.87856
1646000288,29716.89045
1646000289,20289.11559
1646000290,12271.69271
1646000291,25256.05141
1646000292,20080.62341
1646000293,25552.64841
1646000294,19591.87238
1646000295,23317.90267
1646000296,28964.94062
1646000297,22428.27626
1646000298,21988.83231
1646000299,22094.57954
1646000300,23511.23741
1646000301,22239.54269
1646000302,18521.48398
1646000303,47014.90282
1646000304,18679.17387
1646000305,19066.10442
1646000306,12893.85328
1646000307,17906.73707
1646000308,24563.12183
1646000309,22391.72878
1646000310,20034.55149
1646000311,21524.3818
1646000312,30064.87431
1646000313,22543.10979
1646000314,28599.40488
1646000315,12983.3817
1646000316,30113.02297
1646000317,16427.20932
1646000318,30313.73631
1646000319,23800.59975
1646000320,15967.21459
1646000321,20322.5587
1646000322,40141.23213
1646000323,43323.65789
1646000324,45047.87502
1646000325,31683.58365
1646000326,55965.02367
1646000327,68013.04829
1646000328,22154.72927
1646000329,28194.16345
1646000330,29622.60703
1646000331,77106.75399
1646000332,41390.58281
1646000333,47935.76413
1646000334,21365.90935
1646000335,33082.58407
1646000336,37217.87646
1646000337,36258.75324
1646000338,120683.8608
1646000339,46419.30529
1646000340,19942.82341
1646000341,31172.88823
1646000342,35994.36161
1646000343,27942.66565
1646000344,40353.96412
1646000345,100178.3899
1646000346,46100.4122
1646000347,49467.53999
1646000348,96755.00874
1646000349,65849.85092
1646000350,22454.09786
1646000351,43635.93636
1646000352,46628.0071
1646000353,83704.30504
1646000354,26583.3825
1646000355,42684.1495
1646000356,43520.76496
1646000357,35686.74412
1646000358,42105.24387
1646000359,42155.58158
1646000360,31469.97808
1646000361,34935.13178
1646000362,54411.39371
1646000363,56953.15339
1646000364,53127.20295
1646000365,43582.08655
1646000366,41817.43453
1646000367,59061.92441
1646000368,25376.05152
1646000369,71387.92019
1646000370,46840.72032
1646000371,26010.9952
1646000372,40437.6793
1646000373,42153.25123
1646000374,23501.43405
1646000375,39588.35833
1646000376,47532.00626
1646000377,34429.21506
1646000378,40533.65228
1646000379,36932.02313
1646000380,32714.24911
1646000381,120948.6706
1646000382,42126.09846
1646000383,32754.47854
1646000384,35624.11093
1646000385,37312.46286
1646000386,46537.01729
1646000387,24502.5212
1646000388,21072.19982
1646000389,33512.54086
1646000390,19333.64269
1646000391,35391.80063
1646000392,33474.93712
1646000393,30509.53213
1646000394,29153.00481
1646000395,27191.40404
1646000396,35078.07216
1646000397,32560.31796
1646000398,44640.83935
1646000399,36192.35127
1646000400,31668.37781
1646000401,30336.26049
1646000402,38516.08225
1646000403,39313.22923
1646000404,26629.95042
1646000405,31614.79521
1646000406,68630.22143
1646000407,46239.57157
1646000408,37717.02389
1646000409,41005.47446
1646000410,62898.38095
1646000411,110259.9456
1646000412,27972.07567
1646000413,36218.27144
1646000414,32402.50649
1646000415,41272.44708
1646000416,17268.12829
